9105,9105,9105,9105,9105,9105,9105,9105,9105,9105,9105,9105,,9105,109,1294,97,335,46,189,396,259,433,223,1376,669,497,288,264,418,153,218,576,1120,251,274,120,257
6205,教少點技巧,u,,,,u   ,course design,,,,U   ,Course,course design,,,,,,,,course design,,,,,,,,,,,,,,,,
6206,Sometimes the screen freezes and it is kinda of laggy.,x,,,,x   ,Videoplay issue (lag),,,,X   ,Videoplay issue,Videoplay issue (lag),,,,,,,,,,,,,,,,,,,,,Videoplay issue (lag),,,
6207,No equipment for practicing.,s,,,,s   ,equipment,,,,S   ,IT-related,equipment,,,,,,,,,,,,,,,,,,,,equipment,,,,
6208,Cannot practice table tennis and get hands-on experience,L,,,,L   ,sports,,,,L   ,Learning activities,sports,,,,,,,,,sports,,,,,,,,,,,,,,,
6209,Please do not ask students to answer questions frequently.,g,,,,g   ,Q&A,,,,G   ,Interaction,Q&A,,,,,,,,,,,Q&A,,,,,,,,,,,,,
6210,太多教學片和重複的內容,j,,,,j   ,videos - too many,,,,J   ,Course material,videos - too many,,,,,,,,,,,,,videos - too many,,,,,,,,,,,
6211,不能進行實際練習,L,,,,L   ,hands-on experience,,,,L   ,Learning activities,hands-on experience,,,,,,,,,hands-on experience,,,,,,,,,,,,,,,
6212,沒有，很好。老師很盡力。,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
6213,nil,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
6214,more interactive features could be included like q&a or polls,g,,,,g   ,interaction,,,,G   ,Interaction,interaction,,,,,,,,,,,interaction,,,,,,,,,,,,,
6215,不能實踐所學的技巧,L,,,,L   ,hands-on experience,,,,L   ,Learning activities,hands-on experience,,,,,,,,,hands-on experience,,,,,,,,,,,,,,,
6216,PE should not teach online,e,,,,e   ,unsuitable for online,,,,E   ,Prefer f2f,unsuitable for online,,,,unsuitable for online,,,,,,,,,,,,,,,,,,,,
6217,I think it is good enough considering the current situation!,Q,,,,Q   ,it's good,,,,Q   ,It's good,it's good,,,,,,,,,,,,,,,,,,,,,,,,it's good
6218,Maybe there can be more work out time,M,,,,M   ,classwork,,,,M   ,Assignment,classwork,,,,,,,,,,classwork,,,,,,,,,,,,,,
6219,Hard to make sure people participate,g,,,,g   ,participation,,,,G   ,Interaction,participation,,,,,,,,,,,participation,,,,,,,,,,,,,
6220,Hard to have real practise,L,,,,L   ,lack of practice,,,,L   ,Learning activities,lack of practice,,,,,,,,,lack of practice,,,,,,,,,,,,,,,
6221,No practice,L,,,,L   ,lack of practice,,,,L   ,Learning activities,lack of practice,,,,,,,,,lack of practice,,,,,,,,,,,,,,,
6222,難以單憑網上教學的內容而欠缺面對面的教授下去把理論實踐出來,L,,,,L   ,hands-on experience,,,,L   ,Learning activities,hands-on experience,,,,,,,,,hands-on experience,,,,,,,,,,,,,,,
6223,未能親身體驗,L,,,,L   ,hands-on experience,,,,L   ,Learning activities,hands-on experience,,,,,,,,,hands-on experience,,,,,,,,,,,,,,,
6224,using online learning to learn pe is quite useless and  the assessment method is demanding require student to do video and essay together it will be better to do essay or video only,p,,,,p   ,assessment,,,,P   ,Assessment,assessment,,,,,,,,,,,,,,,,,,,assessment,,,,,
6225,I don’t know,c,,,,c   ,IDK / no comment/ same,,,,C   ,IDK / no comment/ same,IDK / no comment/ same,,,IDK / no comment/ same,,,,,,,,,,,,,,,,,,,,,
6226,not suitable for online teaching,e,,,,e   ,prefer f2f,,,,E   ,Prefer f2f,prefer f2f,,,,prefer f2f,,,,,,,,,,,,,,,,,,,,
6227,cannot do practical exercise,L,,,,L   ,hands-on experience,,,,L   ,Learning activities,hands-on experience,,,,,,,,,hands-on experience,,,,,,,,,,,,,,,
6228,Impossible to make any practice and thus the theories being taught cannot be applied without any real life situation.,L,,,,L   ,lack of practice,,,,L   ,Learning activities,lack of practice,,,,,,,,,lack of practice,,,,,,,,,,,,,,,
6229,connection problem,s,,,,s   ,network connection,,,,S   ,IT-related,network connection,,,,,,,,,,,,,,,,,,,,network connection,,,,
6230,No.,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
6231,It'a very hard to have online courses of PE and we cannot have any practical experience or practice. I think the online courses should be reconsidered when facing emergencies or situations.,L,,,,L   ,sports,,,,L   ,Learning activities,sports,,,,,,,,,sports,,,,,,,,,,,,,,,
6232,no pratice can be made if we use online platform to learn pe,L,,,,L   ,lack of practice,,,,L   ,Learning activities,lack of practice,,,,,,,,,lack of practice,,,,,,,,,,,,,,,
6233,Upload footage of lecturer showing every basic skill.,j,,,,j   ,material accessibility,,,,J   ,Course material,material accessibility,,,,,,,,,,,,,material accessibility,,,,,,,,,,,
6234,-,a,,,,a   ,,,,,A   ,Blank,blank,blank,,,,,,,,,,,,,,,,,,,,,,,
6235,better not to use online teaching,e,,,,e   ,No more online,,,,E   ,Prefer f2f,No more online,,,,No more online,,,,,,,,,,,,,,,,,,,,
6236,PE堂應該著重practical 練習而不是理論教學,L,,,,L   ,hands-on experience,,,,L   ,Learning activities,hands-on experience,,,,,,,,,hands-on experience,,,,,,,,,,,,,,,
6237,體育課目應該以實體形式進行，網上教學只是紙上談兵。,L,,,,L   ,sports,,,,L   ,Learning activities,sports,,,,,,,,,sports,,,,,,,,,,,,,,,
6238,The course could promote more physical learning since it is a PE course,L,,,,L   ,sports,,,,L   ,Learning activities,sports,,,,,,,,,sports,,,,,,,,,,,,,,,
6239,無法實戰，紙上談兵,L,,,,L   ,hands-on experience,,,,L   ,Learning activities,hands-on experience,,,,,,,,,hands-on experience,,,,,,,,,,,,,,,
6240,no.,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
6241,face-to-face PE lessons are much better than zoom teaching.,e,,,,e   ,prefer f2f,,,,E   ,Prefer f2f,prefer f2f,,,,prefer f2f,,,,,,,,,,,,,,,,,,,,
6242,"no chance for students to practice the skills, should focus more on some exercises that can be done at home",L,,,,L   ,sports,,,,L   ,Learning activities,sports,,,,,,,,,sports,,,,,,,,,,,,,,,
6243,"It's horrible, should just cancel PE, there's no point to have PE without practicing in real life",e,,,,e   ,should cancel,,,,E   ,Prefer f2f,should cancel,,,,should cancel,,,,,,,,,,,,,,,,,,,,
6244,cannot play table tennis,L,,,,L   ,sports,,,,L   ,Learning activities,sports,,,,,,,,,sports,,,,,,,,,,,,,,,
6245,無法練習,L,,,,L   ,lack of practice,,,,L   ,Learning activities,lack of practice,,,,,,,,,lack of practice,,,,,,,,,,,,,,,
6246,less hands-on,L,,,,L   ,hands-on experience,,,,L   ,Learning activities,hands-on experience,,,,,,,,,hands-on experience,,,,,,,,,,,,,,,
6247,I can't practice to play table tennis,L,,,,L   ,sports,,,,L   ,Learning activities,sports,,,,,,,,,sports,,,,,,,,,,,,,,,
6248,未能即場練習，改正姿勢奧運選手水平或太高深，但明白實例說明的重要,L,,,,L   ,hands-on experience,,,,L   ,Learning activities,hands-on experience,,,,,,,,,hands-on experience,,,,,,,,,,,,,,,
6249,不要網上教學。,e,,,,e   ,no more online,,,,E   ,Prefer f2f,no more online,,,,no more online,,,,,,,,,,,,,,,,,,,,
6250,不網上教學,e,,,,e   ,No more online,,,,E   ,Prefer f2f,No more online,,,,No more online,,,,,,,,,,,,,,,,,,,,
6251,all pass or fail,p,,,,p   ,P/F,,,,P   ,Assessment,P/F,,,,,,,,,,,,,,,,,,,P/F,,,,,
6252,I wish we could have links to recordings of the lectures for our own reference. It is hard to understand what good posture is when I cannot reference a video of it.,k,,,,k   ,lecture recordings,,,,K   ,Recording,lecture recordings,,,,,,,,,,,,,,lecture recordings,,,,,,,,,,
6253,Lack of interaction,g,,,,g   ,interaction,,,,G   ,Interaction,interaction,,,,,,,,,,,interaction,,,,,,,,,,,,,
6254,- Recorded Sessions might be better due to unstable network...,s,k,,,s k  ,network connection,lecture recordings,,,S K  ,"Recording, IT-related","lecture recordings, network connection",,,,,,,,,,,,,,lecture recordings,,,,,,network connection,,,,
6255,PE class is a bit difficult to conduct in online class.,e,,,,e   ,unsuitable for online,,,,E   ,Prefer f2f,unsuitable for online,,,,unsuitable for online,,,,,,,,,,,,,,,,,,,,
6256,so far so good:),Q,,,,Q   ,it's good,,,,Q   ,It's good,it's good,,,,,,,,,,,,,,,,,,,,,,,,it's good
6257,太極不適合裝上教學,e,,,,e   ,unsuitable for online,,,,E   ,Prefer f2f,unsuitable for online,,,,unsuitable for online,,,,,,,,,,,,,,,,,,,,
6258,課時不要太長,f,,,,f   ,too long,,,,F   ,Class planning,too long,,,,,,,too long,,,,,,,,,,,,,,,,,
6259,收音不穩定,n,,,,n   ,audio quality,,,,N   ,Clarity of delivery,audio quality,,,,,,,,,,,,,,,,audio quality,,,,,,,,
6260,停用zoom,y,,,,y   ,no zoom,,,,Y   ,Choice of platform,no zoom,,,,,,,,,,,,,,,,,,,,,,no zoom,,
6261,no,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
6262,Can help with the readings. Some of them are difficult to understand.Maybe run over the key points for long questions.,j,,,,j   ,course materials - reading,,,,J   ,Course material,course materials - reading,,,,,,,,,,,,,course materials - reading,,,,,,,,,,,
6263,由於此課程為與手語有關 需開視訊有時候因網絡接收的問題而看不到,s,,,,s   ,network connection,sign language,,,S   ,IT-related,network connection,,,,,,,,,,,,,,,,,,,,network connection,,,,
6264,no Zoom please...,y,,,,y   ,no zoom,,,,Y   ,Choice of platform,no zoom,,,,,,,,,,,,,,,,,,,,,,no zoom,,
6265,The video quality is poor.,j,,,,j   ,videos - quality,,,,J   ,Course material,videos - quality,,,,,,,,,,,,,videos - quality,,,,,,,,,,,
6266,没有,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
6267,"For PE lessons, I think it is really inconvenient to have online lessons. It is hard to practice and it is hard for the teacher to show the skills.",L,,,,L   ,sports,,,,L   ,Learning activities,sports,,,,,,,,,sports,,,,,,,,,,,,,,,
6268,好多-睇片lag到爆-有時會斷線,x,,,,x   ,Videoplay issue (lag),,,,X   ,Videoplay issue,Videoplay issue (lag),,,,,,,,,,,,,,,,,,,,,Videoplay issue (lag),,,
6269,比较难找到学伴一起练习口语,L,,,,L   ,oral practice/ role play,,,,L   ,Learning activities,oral practice/ role play,,,,,,,,,oral practice/ role play,,,,,,,,,,,,,,,
6270,"some classmates keep on talking about something totally irrelevant to the class in the chatbox, which is annoying and disturbing. I wish the host can disable their use of chatbox.",g,,,,g   ,chatbox,,,,G   ,Interaction,chatbox,,,,,,,,,,,chatbox,,,,,,,,,,,,,
6271,Can have more break,f,,,,f   ,breaks,,,,F   ,Class planning,breaks,,,,,,,breaks,,,,,,,,,,,,,,,,,
6272,"I think there is a lot of homework to be done. If some of them are allocated to classwork, it will be better.",M,,,,M   ,assignment,,,,M   ,Assignment,assignment,,,,,,,,,,assignment,,,,,,,,,,,,,,
6273,teacher cannot give us instant feedback like face-to-face teaching since online teaching is so inconvenient and not every student is okay to open their cam and show their action.,g,,,,g   ,feedback,,,,G   ,Interaction,feedback,,,,,,,,,,,feedback,,,,,,,,,,,,,
